,,Unnamed: 0,pixel_feat,pre_hor,pre_ver,ed_sobel,can,contrast,dissimilarity,homogeneity,energy,correlation,ASM,entropy,shannon_entropy,area,centroid,eccentricity,major_length,minor_length,perimeter,mean,var,std,skewness,kurtosis,SNR,result
r,0,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[106.68019203 156.21607607 112.99244741 167.63011018]],[[1.86143897 2.44785368 1.92925177 2.65540497]],[[0.67952067 0.60264457 0.66343727 0.59277627]],[[0.12998914 0.12543465 0.12936126 0.1258356 ]],[[0.99274269 0.98936039 0.9923149  0.9885806 ]],[[0.01689718 0.01573385 0.01673434 0.0158346 ]],37.84506840167381,6.921912609644485,143363.038047451,"(263.5130692594966, 266.59513167956544)",0.0139536721704793,611.9604428897644,543.4772823007537,<function perimeter at 0x7fc914eb9160>,0.5468865892313041,0.1034791441194336,0.3216817435283415,-0.3867027483954104,-1.3062929847318532,1.70008587752858,stale
r,1,1,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[115.14039185 124.57697389 102.82386329 156.68280989]],[[2.24756528 2.9244986  2.19074502 2.8100689 ]],[[0.64534506 0.56778022 0.64092517 0.58092054]],[[0.15425377 0.15155798 0.15391373 0.15187138]],[[0.99280886 0.99221751 0.99358122 0.99021143]],[[0.02379423 0.02296982 0.02368943 0.02306492]],38.97194002941556,7.010614860900106,114789.9652380392,"(275.8469622318515, 268.9180686409329)",0.0036488476119834,604.0039213237328,568.5568832257244,<function perimeter at 0x7fc914eb9160>,0.4378889665147371,0.116564828250263,0.341415916808609,0.1859538808695046,-1.5338043345353156,1.282567522357808,stale
r,2,2,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[101.04105767 142.51386522  85.58490934 125.42849867]],[[2.00832467 2.61126834 2.00569884 2.73779206]],[[0.63542548 0.56341007 0.62721814 0.54974873]],[[0.13112223 0.12840311 0.13069001 0.128075  ]],[[0.99046915 0.98653215 0.99192539 0.98814864]],[[0.01719304 0.01648736 0.01707988 0.01640321]],38.83338426904047,6.983145055936851,95512.71516078433,"(290.48403938209077, 220.36713144211046)",0.005510209231235,607.0615939467235,563.5537303981602,<function perimeter at 0x7fc914eb9160>,0.3643520933562634,0.0767393563689572,0.2770186931760333,0.630207502822893,-0.6186831468726921,1.3152617578941992,stale
r,3,3,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[ 86.60603825 106.23795482  75.46607449 128.78410775]],[[2.22149049 3.33321717 2.54272413 2.96633745]],[[0.58064661 0.47197169 0.53600341 0.50336987]],[[0.12975631 0.12666093 0.12876853 0.12723603]],[[0.99273718 0.99109326 0.99367405 0.98920263]],[[0.0168367  0.01604299 0.01658133 0.01618901]],40.88224327461613,7.134119933691243,91569.9609654902,"(253.98162720014562, 228.41252552480782)",0.0463242594003789,636.3704903564039,511.3893311535406,<function perimeter at 0x7fc914eb9160>,0.3493116797084435,0.0900645622511342,0.3001075844611966,0.5885305817093502,-0.9635037237349612,1.1639548541753328,stale
r,4,4,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[ 92.73150838 117.94395319  93.2229582  120.47188468]],[[1.60884754 2.05597788 1.67612142 2.1377101 ]],[[0.66235255 0.57116466 0.64766489 0.56833327]],[[0.15309291 0.1467102  0.15210471 0.14674046]],[[0.99166726 0.98936699 0.99162271 0.98913901]],[[0.02343744 0.02152388 0.02313584 0.02153276]],32.018736726761404,5.4879917107567255,163367.31322470584,"(261.7509433128762, 261.48703945645633)",1.686245649210496e-05,546.2678893914758,544.0292860729337,<function perimeter at 0x7fc914eb9160>,0.6231968430507883,0.0831832759945042,0.2884151105516219,-1.4798303984826906,0.466209185480873,2.160763497650535,stale
r,5,5,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[53.45539154 67.46106977 56.58922838 75.5960953 ]],[[2.4353787  3.17423723 2.5297326  3.21895213]],[[0.54721613 0.48015157 0.54347159 0.46858178]],[[0.15370876 0.1507016  0.15337175 0.1504679 ]],[[0.99102765 0.9886487  0.9905031  0.98728041]],[[0.02362638 0.02271097 0.02352289 0.02264059]],38.25222212883671,6.351562125260353,113465.75710470587,"(245.48059610475715, 261.69710768109036)",0.0040620054959525,545.2545831572457,511.5434046455799,<function perimeter at 0x7fc914eb9160>,0.4328375133693919,0.0506301537681334,0.2250114525266068,-0.9170473629599024,-0.1492576713173465,1.92362436893389,stale
r,6,6,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[44.07015579 74.99010803 38.2227518  34.96278737]],[[2.09305819 2.90151309 2.12533253 2.61900805]],[[0.53982546 0.45467032 0.52635688 0.46936612]],[[0.15082301 0.14814651 0.15088462 0.14809241]],[[0.99107069 0.98478582 0.99226413 0.99290993]],[[0.02274758 0.02194739 0.02276617 0.02193136]],38.99752264784549,6.624699119844958,67284.27694784314,"(272.94948482361957, 279.8611289243611)",0.0352222827522617,594.9897929428356,492.0680479285628,<function perimeter at 0x7fc914eb9160>,0.2566691472924924,0.0338523880991946,0.1839901847903705,0.7419007924331222,0.5778746035814621,1.3950154329424087,stale
r,7,7,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[101.39396557 109.35321939 102.14824639 107.52016881]],[[1.66476578 2.10104128 1.73339653 2.01164211]],[[0.67827188 0.59218237 0.66531282 0.59530334]],[[0.17308652 0.16724354 0.17268305 0.16727578]],[[0.99236818 0.99174879 0.99231188 0.99188746]],[[0.02995894 0.0279704  0.02981944 0.02798119]],31.460711930774828,5.425506874630572,163260.91943647058,"(242.38523552220823, 255.82800985701326)",7.010883915146406e-05,542.0838014658987,537.5637227519279,<function perimeter at 0x7fc914eb9160>,0.6227909829577278,0.1005232421765033,0.3170540051418737,-1.2535262093910329,-0.2221087561436387,1.964305679340163,stale
r,8,8,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[ 83.79828538  98.55509515  74.22786204 123.82636785]],[[2.18513408 3.22910451 2.46152611 2.84692154]],[[0.58881576 0.48406109 0.55057526 0.5200603 ]],[[0.14117966 0.13817212 0.14038167 0.13857049]],[[0.99288567 0.99163512 0.99370167 0.98949027]],[[0.0199317  0.01909153 0.01970701 0.01920178]],40.35356113764282,7.0711384506418575,88498.91687529413,"(265.95992159455284, 220.69136862721626)",0.0579486237338648,642.0938149163321,502.2965280265871,<function perimeter at 0x7fc914eb9160>,0.3375965762149586,0.0891633493786393,0.2986023264789464,0.6526461821061508,-0.8481280468380334,1.130589236178512,stale
r,9,9,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",[[ 45.74974392  89.25351465  78.25242325 112.09855584]],[[2.18343704 3.04901176 2.18578003 2.99258581]],[[0.5305261  0.44851147 0.54778167 0.46027857]],[[0.0914245  0.08857046 0.09197537 0.08875245]],[[0.99561947 0.99144685 0.9925089  0.98925891]],[[0.00835844 0.00784473 0.00845947 0.007877  ]],42.53048703797118,7.421141881825608,101462.20424941176,"(267.4144311057762, 239.50072366824514)",0.0151360066936052,648.4063108139454,572.9867684586246,<function perimeter at 0x7fc914eb9160>,0.3870475931145163,0.0764172992923007,0.2764367907719606,0.3838678177913784,-1.0084379419893048,1.40013053990994,stale
